participant_id	WJ-III_WordID_Raw	WJ-III_WordID_StS	WJ-III_WA_Raw	WJ-III_WA_StS	WJ-III_PassComp_Raw	WJ-III_PassComp_StS	WJ-III_MathFluency_Raw	WJ-III_MathFluency_StS	WJ-III_SpatialRelations_Raw	WJ-III_SpatialRelations_Letter	WJ-III_SpatialRelations_StS	WJ-III_BRS_Sts
sub-001	n/a	n/a	n/a	n/a	n/a	n/a	115	131	n/a	n/a	n/a	n/a
sub-002	n/a	n/a	n/a	n/a	n/a	n/a	56	84	n/a	n/a	n/a	n/a
sub-003	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-004	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-005	n/a	n/a	n/a	n/a	n/a	n/a	134	119	n/a	n/a	n/a	n/a
sub-006	n/a	n/a	n/a	n/a	n/a	n/a	79	105	n/a	n/a	n/a	n/a
sub-007	n/a	n/a	n/a	n/a	n/a	n/a	102	111	n/a	n/a	n/a	n/a
sub-008	n/a	n/a	n/a	n/a	n/a	n/a	122	108	n/a	n/a	n/a	n/a
sub-009	n/a	n/a	n/a	n/a	n/a	n/a	101	115	n/a	n/a	n/a	n/a
sub-010	n/a	n/a	n/a	n/a	n/a	n/a	96	103	n/a	n/a	n/a	n/a
sub-011	n/a	n/a	n/a	n/a	n/a	n/a	136	138	n/a	n/a	n/a	n/a
sub-012	n/a	n/a	n/a	n/a	n/a	n/a	89	89	n/a	n/a	n/a	n/a
sub-013	n/a	n/a	n/a	n/a	n/a	n/a	110	100	n/a	n/a	n/a	n/a
sub-014	n/a	n/a	n/a	n/a	n/a	n/a	74	84	n/a	n/a	n/a	n/a
sub-015	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-016	n/a	n/a	n/a	n/a	n/a	n/a	138	114	n/a	n/a	n/a	n/a
sub-017	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-018	n/a	n/a	n/a	n/a	n/a	n/a	101	101	n/a	n/a	n/a	n/a
sub-019	n/a	n/a	n/a	n/a	n/a	n/a	115	112	n/a	n/a	n/a	n/a
sub-020	n/a	n/a	n/a	n/a	n/a	n/a	111	111	n/a	n/a	n/a	n/a
sub-021	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
