onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	3.998000000000001	easy	1.0	1.012	task-Num/dot3_12-17.bmp	task-Num/dot3_36-41.bmp
3.998000000000001	3.9979999999999976	hard	1.0	1.042	task-Num/dot3_36-100.bmp	task-Num/dot3_24-28.bmp
7.995999999999999	4.798000000000002	medium	1.0	1.275	task-Num/dot3_18-13.bmp	task-Num/dot3_36-61.bmp
12.794	3.9979999999999976	medium	1.0	1.025	task-Num/dot3_18-16.bmp	task-Num/dot3_36-64.bmp
16.791999999999998	3.9979999999999976	medium	1.0	1.082	task-Num/dot3_18-17.bmp	task-Num/dot3_36-65.bmp
20.789999999999996	2.9990000000000023	control	1.0	0.668	n/a	/BLUEbox.bmp
23.788999999999998	4.798000000000002	medium	1.0	1.148	task-Num/dot3_36-78.bmp	task-Num/dot3_18-30.bmp
28.587	3.997999999999994	hard	1.0	0.623	task-Num/dot3_36-97.bmp	task-Num/dot3_24-25.bmp
32.584999999999994	3.798000000000002	control	1.0	0.678	n/a	/BLUEbox.bmp
36.382999999999996	2.9990000000000094	control	1.0	0.583	n/a	/BLUEbox.bmp
39.382000000000005	2.9979999999999905	control	1.0	0.505	n/a	/BLUEbox.bmp
42.379999999999995	3.9980000000000047	easy	1.0	0.49	task-Num/dot3_12-16.bmp	task-Num/dot3_36-40.bmp
46.378	4.397999999999996	medium	1.0	0.333	task-Num/dot3_18-14.bmp	task-Num/dot3_36-62.bmp
50.775999999999996	3.9980000000000047	easy	1.0	1.122	task-Num/dot3_36-51.bmp	task-Num/dot3_12-27.bmp
54.774	2.9989999999999952	control	1.0	0.562	n/a	/BLUEbox.bmp
57.772999999999996	3.9980000000000047	hard	1.0	0.576	task-Num/dot3_24-17.bmp	task-Num/dot3_36-89.bmp
61.771	3.798000000000002	control	1.0	0.874	n/a	/BLUEbox.bmp
65.569	4.397999999999996	hard	1.0	1.027	task-Num/dot3_24-16.bmp	task-Num/dot3_36-88.bmp
69.967	4.798000000000002	medium	1.0	1.193	task-Num/dot3_36-74.bmp	task-Num/dot3_18-26.bmp
74.765	3.9980000000000047	easy	1.0	0.687	task-Num/dot3_12-15.bmp	task-Num/dot3_36-39.bmp
78.763	3.399000000000001	control	1.0	0.749	n/a	/BLUEbox.bmp
82.162	4.798000000000002	hard	0.0	1.194	task-Num/dot3_24-18.bmp	task-Num/dot3_36-90.bmp
86.96000000000001	3.9979999999999905	hard	1.0	1.109	task-Num/dot3_36-99.bmp	task-Num/dot3_24-27.bmp
90.958	3.3980000000000103	control	1.0	0.631	n/a	/BLUEbox.bmp
94.35600000000001	4.797999999999988	easy	1.0	1.193	task-Num/dot3_36-50.bmp	task-Num/dot3_12-26.bmp
99.154	4.397999999999996	hard	1.0	0.965	task-Num/dot3_24-13.bmp	task-Num/dot3_36-85.bmp
103.55199999999999	3.998000000000019	medium	0.0	0.86	task-Num/dot3_18-18.bmp	task-Num/dot3_36-66.bmp
107.55000000000001	4.798000000000002	hard	1.0	1.331	task-Num/dot3_36-98.bmp	task-Num/dot3_24-26.bmp
112.34800000000001	3.397999999999996	control	1.0	0.743	n/a	/BLUEbox.bmp
115.74600000000001	4.798000000000002	hard	1.0	1.317	task-Num/dot3_36-102.bmp	task-Num/dot3_24-30.bmp
120.54400000000001	3.798000000000002	control	1.0	0.481	n/a	/BLUEbox.bmp
124.34200000000001	3.399000000000001	control	1.0	0.609	n/a	/BLUEbox.bmp
127.74100000000001	4.397999999999996	medium	1.0	1.382	task-Num/dot3_36-73.bmp	task-Num/dot3_18-25.bmp
132.139	4.796999999999997	medium	1.0	1.228	task-Num/dot3_36-77.bmp	task-Num/dot3_18-29.bmp
136.936	4.798000000000002	easy	1.0	0.493	task-Num/dot3_12-18.bmp	task-Num/dot3_36-42.bmp
141.734	4.397999999999996	easy	1.0	1.336	task-Num/dot3_36-52.bmp	task-Num/dot3_12-28.bmp
146.132	4.798000000000002	easy	1.0	1.035	task-Num/dot3_36-54.bmp	task-Num/dot3_12-30.bmp
150.93	4.798000000000002	hard	1.0	1.142	task-Num/dot3_24-14.bmp	task-Num/dot3_36-86.bmp
155.728	4.798000000000002	medium	1.0	1.253	task-Num/dot3_36-76.bmp	task-Num/dot3_18-28.bmp
160.526	4.396999999999991	medium	1.0	0.446	task-Num/dot3_36-75.bmp	task-Num/dot3_18-27.bmp
164.923	4.397999999999996	easy	1.0	3.104	task-Num/dot3_12-13.bmp	task-Num/dot3_36-37.bmp
169.321	3.7990000000000066	control	1.0	0.742	n/a	/BLUEbox.bmp
173.12	4.397999999999996	hard	1.0	1.082	task-Num/dot3_24-15.bmp	task-Num/dot3_36-87.bmp
177.518	4.397999999999996	easy	1.0	0.562	task-Num/dot3_36-49.bmp	task-Num/dot3_12-25.bmp
181.916	4.397999999999996	medium	1.0	0.522	task-Num/dot3_18-15.bmp	task-Num/dot3_36-63.bmp
186.314	4.39700000000002	easy	1.0	0.675	task-Num/dot3_12-14.bmp	task-Num/dot3_36-38.bmp
190.711	4.798000000000002	easy	1.0	0.536	task-Num/dot3_36-53.bmp	task-Num/dot3_12-29.bmp
195.50900000000001	4.399000000000001	hard	1.0	0.78	task-Num/dot3_36-101.bmp	task-Num/dot3_24-29.bmp
199.90800000000002	22.0	n/a	n/a	n/a	n/a	/REDbox.bmp
